Timestamp,"0306-BUILDINGS & GROUNDS Power Meter W-hours, Received","0058-MINERAL PROCESSING LAB Power Meter W-hours, Received",0072-BLDG Power Meter 300165 KWH Received,0575-ECCLES HEALTH SCIENCES EDUCATION BLDG Power Meter (316617) Real Energy In,"0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 W-hours, Total","0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 W-hours, Delivered",0038-ART BLDG Power Meter 319600 Energy IMP,"0002-VOICE & OPERA CNTR Power Meter (301411) W-hours, Received",0522-WEST PAVILION (HOSP) Power Meter 300379 Real Energy In,0804-CHAPEL GLEN Power Meter KWH Received,0085-EYRING CHEMISTRY BLDG Power Meter (4160V) 316611 KWH Received,"0059-MINING SYSTEMS RESEARCH LAB Power Meter W-hours, Total","0095-HPER BLDG MECH S/W Power Meter 300213 W-hours, Received",0806-GATEWAY HEIGHTS Power Meter KWH Received,0811-SAGE POINT Power Meter KWH Received,0084-BIOLOGY BLDG Power Meter 316501 KWH Received,"0555-HUNTSMAN CANCER INSTITUTE Power Meter 300432 W-hours, Received",0820-BENCHMARK PLAZA Power Meter KWH Received,0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Energy Consumption,"0013-COWLES BLDG Power Meter W-hours, Received",0586-RADIOBIOLOGY ADMINISTRATION Power Meter PM Total,0014-TALMAGE BLDG Power Meter (300044) KWH Received,0079-ECCLES BUSINESS BLDG Power Meter 319599 PM Total,0079-ECCLES BUSINESS BLDG Power Meter 319599 Energy IMP,0045-TANNER IRISH HUMANITIES BLDG Power Meter 120V (318841) Energy Total,0045-TANNER IRISH HUMANITIES BLDG Power Meter 120V (318841) Energy EXP,0045-TANNER IRISH HUMANITIES BLDG Power Meter 120V (318841) Energy IMP,"0004-KINGSBURY HALL Power Meter 1 (301210) W-hours, Received","0011-BROWNING BLDG Power Meter 300033 W-hours, Received",0049-LANGUAGE & COMMUNICATION BLDG Power Meter KWH Received,"0570-BIOMEDICAL POLYMERS RESEARCH BLDG Power Meter 1 W-hours, Received","0092-HPER NORTH Power Meter W-hours, Received","0814-SAGE POINT Power Meter 300853 W-hours, Received","0010-PHYSICS BLDG Power Meter (300030) W-hours, Received",0825-SHORELINE RIDGE Power Meter KWH Received,"0019-INTERMOUNTAIN NETWORK SCIENTIFIC CC Power Meter W-hours, Received","0029-NIELSEN FIELDHOUSE Power Meter W-hours, Received",0043-NAVAL SCIENCE BLDG Power Meter 300093 Real Energy In,"0099-HUNTSMAN BASKETBALL FACILITY Electric Meter 94 3 W-hours, Total","0040-STUDENT SERVICES BLDG Power Meter (300089) W-hours, Received",0303-HIGH TEMPERATURE WATER PLNT Power Meter (12470) 301185 Real Energy Out,0303-HIGH TEMPERATURE WATER PLNT Power Meter (12470) 301185 Real Energy In,"0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 W-hours, Received",0008-EMERY BLDG Power Meter 300026 Energy Consumption,0087-THATCHER BLDG Power Meter (301204) KWH Received,0828-SHORELINE RIDGE Power Meter KWH Received,"0379-CHILDREN'S SPECIAL NEEDS CLINIC Power Meter W-hours, Received",DEMO 0065-MILTON BENNION HALL Power Meter KWH Received,0812-SAGE POINT Power Meter KWH Received,0083-FLETCHER BLDG Power Meter EAST KWH Received,"0091-HPER EAST Power Meter (300208) W-hours, Received",0071-SORENSON ARTS & ED COMPLEX Power Meter 2 (301442) Panel MSH kwh,0830-SHORELINE RIDGE Power Meter (300891) KWH Received,0017-PERFORMING ARTS BLDG Power Meter 316563 KWH Received,0827-SHORELINE RIDGE Power Meter KWH Received,0829-SHORELINE RIDGE Power Meter 300888 KWH Received,0350-TURPIN UNIVERSITY SERVICES BLDG Power Meter 1 300335 KWH Received,0039-SCULPTURE BLDG Power Meter KWH Received,"0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter W-hours, Received",0826-SHORELINE RIDGE Power Meter KWH Received,"0179-ECCLES BROADCAST CNTR Power Meter (South Power) W-hours, Received",0082-SKAGGS BIOLOGY BLDG Power Meter kWh del,0096-HPER BLDG MECH S/E Power Meter KWH Received,"0027-SOCIAL BEH SCIENCE HALL Power Meter LV W-hours, Received","0112-MARRIOTT RESIDENTIAL SCHOLARS Power Meter (316612) Energy, Real, In","0529-ECCLES CRITICAL CARE PAVILION Power Meter 300407 W-hours, Received","0086-MARRIOTT LIBRARY Power Meter 300198 W-hours, Received",0035-PRICE MUSEUM BLDG Power Meter PM Total,0377-MEDICAL EXAMINER'S OFFICE Power Meter KWH Received,0012-SUTTON BLDG POWER METER 208V (316602) Real Energy In,"0053-OLPIN UNION Power Meter (53-4) W-hours, Received",0151-SORENSON MOLECULAR Power Meter-3 300241 kWh,0815-PETERSON HERITAGE CNTR Power Meter KWH Received,0073-BLDG Power Meter 300167 KWH Received,0803-CHAPEL GLEN Power Meter KWH Received,"0582-SKAGGS HALL Power Meter 300466 W-hours, Received",0030-CAULDRON LEGACY PLAZA VISTORS CTR Power Meter PM Total,0033-CLARK FOOTBALL CNTR Power Meter PM Total,"0090-HUNTSMAN CNTR Power Meter 2 (301448) W-hours, Received",0110-ECCLES STUDENT LIFE CNTR Power Meter (HMDL) 311880 Energy delivered,"0003-GARDNER HALL Power Meter (300015) W-hours, Received",0588-POULSON CUMMING NURSING BLDG Power Meter (316622) Real Energy In,0822-BENCHMARK PLAZA Power Meter KWH Received,"0032-RICE-ECCLES STADIUM Power Meter 2 (032-813 (480V) 300076 W-hours, Received","0701-UNIVERSITY STUDENT APTS TOWER 1 Power Meter W-hours, Received",0305-PHYSICAL PLANT SERVICES Power Meter PM Total,0028-MARRIOTT CENTER FOR DANCE Power Meter KWH Received,0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 KWH Received,"0533-ECCLES INSTITUTE OF HUMAN GENETICS Power Meter 3 W-hours, Received",0821-BENCHMARK PLAZA Power Meter KWH Received,0044-OFFICE BLDG Power Meter KWH Received,"0512-RESEARCH ADMINISTRATION BLDG Power Meter 301276 W-hours, Received","0309-MOTOR POOL BLDG Power Meter W-hours, Received","0057-HEDCO BLDG (Feeding 56,57,58&59) Power Meter 300129 W-hours, Received",0026-COLLEGE OF SOCIAL WORK Power Meter (Chiller 26-4) Energy delivered,"0521-SCHOOL OF MEDICINE Power Meter 300368 W-hours, Received",0005-THOMAS BLDG (CROCKER SCIENCE CENTER) OE2H Power Meter ENERGY_ELEC_ACCUM_K,"0093-HPER NATATORIUM Power Meter W-hours, Received",0060-EXPERIMENTAL STUDIES BLDG Power Meter KWH Received,0037-ARCHITECTURE BLDG Power Meter (301159) KWH Received,"0036-FILM & MEDIA ARTS BLDG Power Meter (300084) W-hours, Received","0702-UNIVERSITY STUDENT APTS TOWER 2 Power Meter W-hours, Received",0067-UNIVERSITY CAMPUS STORE Power Meter Energy Consumption,0807-GATEWAY HEIGHTS Power Meter KWH Received,"0813-SAGE POINT Power Meter W-hours, Received",0149-NORTH CAMPUS CHILLER PLNT Power Meter (300238 Chillers) 3-Phase total real energy in,0000-Home Test Power Meter Kwh Received,0041-NW GARAGE Power Meter PM Total,0009-WIDTSOE BLDG Power Meter 1(300028) KWH Received,"0074-BUSINESS CLASSROOM BLDG Power Meter (480V) W-hours, Received","0046-LASSONDE STUDIOS Power Meter 316258 W-hours, Received",0810-SAGE POINT Power Meter KWH Received,0105-ANNEX GENERAL OFFICE  Power Meter KWH Received,0051-STERLING SILL CNTR Power Meter KWH Received,"0061-MELDRUM CIVIL ENGR BLDG Power Meter W-hours, Received",0802-CHAPEL GLEN Power Meter KWH Received,0062-WARNOCK ENGR BLDG Power Meter 316606 Real Energy In,0077-CHRISTENSEN CNTR Power Meter (300172) KWH Received,0017-PERFORMING ARTS BLDG-1 Power Meter 316563 KWH Received,0111-MCKARTHEY TRACK & FIELD STORAGE BLD Power Meter (Track Lighting) Energy IMP,0111-MCKARTHEY TRACK & FIELD STORAGE BLD Power Meter (Track Lighting) Energy Total,0111-MCKARTHEY TRACK & FIELD STORAGE BLD Power Meter (Track Lighting) Energy EXP,"0301-PUBLIC SAFETY Power Meter W-hours, Received",0210- ECCLES FOOTBALL CNTR PANEL PBM ENERGY METER Energy delivered,0210- ECCLES FOOTBALL CNTR PANEL PBM ENERGY METER Energy Received,"0097-DUMKE GYMNASTICS CNTR Power Meter W-hours, Received"
2018-08-01T00:00:00-06:00 Denver,172.3125kWh,,,812kWh,1654265.15625kWh,-1654255.1640625kWh,8380.875kWh,87.7421875kWh,,700.75kWh,,,32866721.59375kWh,1110.375kWh,2280kWh,5632.1875kWh,54907084.75kWh,1572.05078125kWh,462kWh,2947kWh,,974kWh,,4117.75kWh,,,,6580.7109375kWh,0.1300048828125kWh,,517.5kWh,2049.125kWh,1257kWh,1517kWh,812.1015625kWh,5712.69921875kWh,,369.1875kWh,,11085.34375kWh,123477398913024.0kWh,7995392kWh,685.3125kWh,616.25kWh,2237.59375kWh,788.90625kWh,,,1577.1875kWh,,1101.9375kWh,,901.6875kWh,559.5625kWh,953.21875kWh,864.25kWh,1890.125kWh,94.59375kWh,2483.9375kWh,803.3359375kWh,,15040kWh,,,,5238kWh,7032kWh,,,1141.5kWh,,1423kWh,6716kWh,1776.3125kWh,1502kWh,2736.875kWh,,,4545.9501953125kWh,7362kWh,855.28125kWh,2088kWh,2987.5625kWh,8152kWh,1598.40625kWh,,1846.875kWh,3691.5625kWh,0kWh,,,880.4375kWh,56.7734375kWh,,576.140625kWh,8593kWh,39907734kWh,5199.875kWh,397.90625kWh,305.375kWh,744.9375kWh,,,1425.8125kWh,2366.0625kWh,10787kWh,,,1023.9375kWh,1412.4375kWh,1103.1201171875kWh,,1432.0625kWh,414kWh,3484.921875kWh,1860.90625kWh,,1571.125kWh,559.5625kWh,,,,630.1875kWh,45.8046875kWh,,920.1875kWh
2018-08-02T00:00:00-06:00 Denver,191kWh,,,771.5kWh,1655158.107421875kWh,-1655148.966796875kWh,8242.25kWh,61.734375kWh,,641.6875kWh,,,33254263.40625kWh,1068.6875kWh,2222kWh,5428.4375kWh,55477043.875kWh,1839.171875kWh,482.5kWh,2952kWh,,1009kWh,,4133.375kWh,,,,6339.5kWh,0.0399169921875kWh,,522.25kWh,2114.6875kWh,1625kWh,1352kWh,694.19140625kWh,5581.140625kWh,,332.375kWh,,10012.984375kWh,123477398913024.0kWh,7995392kWh,657.5625kWh,608.75kWh,2312.40625kWh,640.3125kWh,,,1128.625kWh,,1617.3125kWh,,842.25kWh,495.0625kWh,881.375kWh,773.1875kWh,1920.25kWh,143.9375kWh,2519.15625kWh,754.1328125kWh,,15344kWh,,,,5293kWh,7044kWh,,,1174.75kWh,,1429kWh,6445kWh,1792.5kWh,1218kWh,2742.125kWh,,,2694.798828125kWh,6918kWh,887.46875kWh,2114kWh,2940.3125kWh,7423kWh,1630.46875kWh,,1932.03125kWh,3709.6875kWh,0kWh,,,879.875kWh,48.328125kWh,,361.375kWh,8529kWh,42708105kWh,5685.3125kWh,281.53125kWh,280kWh,712.1875kWh,,,1365.6875kWh,2064.6875kWh,11597kWh,,,565.375kWh,1463.1875kWh,1080.509765625kWh,,1442.3125kWh,419kWh,3303.375kWh,1715.46875kWh,,1518.6875kWh,495.0625kWh,,,,552.6875kWh,45.5703125kWh,,831.9375kWh
2018-08-03T00:00:00-06:00 Denver,169.0625kWh,,,774kWh,1656016.251953125kWh,-1656007.591796875kWh,7666.125kWh,69.296875kWh,,633.375kWh,,,33640245.5625kWh,778.9765625kWh,2184kWh,5486kWh,56047378.25kWh,1634.94921875kWh,442.5kWh,2961kWh,,974kWh,,3853.125kWh,,,,6235.5kWh,0.0400390625kWh,,548.25kWh,1943kWh,1490kWh,1340kWh,651.5kWh,5523.3203125kWh,,314.875kWh,,9852.5kWh,123477398913024.0kWh,7733248kWh,670.375kWh,591.5kWh,2284.46875kWh,650.1875kWh,,,1096.3125kWh,,932.9375kWh,,819.25kWh,481.125kWh,893.125kWh,721.0625kWh,1765.25kWh,146.96875kWh,2526.75kWh,708.7265625kWh,,14984kWh,,,,5312kWh,6184kWh,,,1125.25kWh,,1416kWh,6406kWh,1728.625kWh,1092kWh,2629.1875kWh,,,2667.701171875kWh,6664kWh,847.59375kWh,2093kWh,2942.15625kWh,7493kWh,1658.4375kWh,,1879.8125kWh,3636.46875kWh,0kWh,,,879.125kWh,52.9375kWh,,381.4296875kWh,8384kWh,44251640kWh,5232.6875kWh,347.5kWh,243.8125kWh,673.3125kWh,,,1273kWh,1869.84375kWh,11471kWh,,,942.5625kWh,1467.25kWh,1085.5498046875kWh,,1284kWh,389kWh,3245.484375kWh,1692.625kWh,,1464.125kWh,481.125kWh,,,,538.9375kWh,46.4140625kWh,,798.4375kWh
2018-08-04T00:00:00-06:00 Denver,118kWh,,,533.5kWh,1656771.498046875kWh,-1656764.349609375kWh,7428.25kWh,6.734375kWh,,743.5625kWh,,,34019914.25kWh,837.1328125kWh,2092kWh,5117.75kWh,56528683.0625kWh,1369.21875kWh,401.5kWh,2513kWh,,913kWh,,3890.375kWh,,,,6211.96875kWh,0kWh,,496.125kWh,1365.8125kWh,1052kWh,1204kWh,635.98828125kWh,4499.98046875kWh,,242.40625kWh,,8824.4375kWh,123477398913024.0kWh,7733248kWh,538.125kWh,499kWh,2032.53125kWh,677.234375kWh,,,1119.1875kWh,,730.1875kWh,,752.75kWh,413.875kWh,721.09375kWh,571.53125kWh,1033.625kWh,42.71875kWh,1943.125kWh,624.53125kWh,,13488kWh,,,,5051kWh,4470kWh,,,1011kWh,,1409kWh,5914kWh,1559.5625kWh,1254kWh,2527.0625kWh,,,2131.87890625kWh,6162kWh,721.3125kWh,1839kWh,2702.53125kWh,6538kWh,1716.59375kWh,,1851.21875kWh,3531.46875kWh,0kWh,,,767.375kWh,22.984375kWh,,329.859375kWh,7648kWh,44329758kWh,4650.125kWh,214.78125kWh,204.125kWh,587.6875kWh,,,1217.6875kWh,1546.71875kWh,9216kWh,,,1079.125kWh,1361.4375kWh,1052.9501953125kWh,,1014.1875kWh,276kWh,2858.578125kWh,1621.8125kWh,,1459.25kWh,413.875kWh,,,,478.9375kWh,45.765625kWh,,745.625kWh
2018-08-05T00:00:00-06:00 Denver,118.84375kWh,,,529.5kWh,1657455.896484375kWh,-1657448.607421875kWh,7480.625kWh,7.765625kWh,,828kWh,,,34393893.40625kWh,813.6953125kWh,2054kWh,5155.875kWh,56265943.625kWh,1187.3125kWh,391kWh,1942kWh,,910kWh,,3596.75kWh,,,,5447.9921875kWh,0kWh,,475.5kWh,1263.9375kWh,972kWh,1180kWh,587.0234375kWh,4531.609375kWh,,244.25kWh,,8742.515625kWh,123477398913024.0kWh,7733248kWh,546.125kWh,490kWh,1976.71875kWh,570kWh,,,1125.9375kWh,,741.625kWh,,675.25kWh,398.625kWh,685.125kWh,488.90625kWh,1081.75kWh,75.53125kWh,1982.5kWh,561.734375kWh,,13348kWh,,,,4951kWh,3742kWh,,,857.75kWh,,1408kWh,5599kWh,1547.5625kWh,1255kWh,2516kWh,,,2143.681640625kWh,6267kWh,704.53125kWh,1815.5kWh,2567.46875kWh,6460kWh,1697.15625kWh,,1831.09375kWh,2500.3125kWh,0kWh,,,768.0625kWh,23.0703125kWh,,304.6328125kWh,7551kWh,44218740kWh,4755.5625kWh,250.375kWh,203.1875kWh,594.8125kWh,,,1197.0625kWh,1542.40625kWh,16524kWh,,,986.625kWh,1357.5625kWh,978.509765625kWh,,1020kWh,274kWh,2832.34375kWh,1609.96875kWh,,1411.3125kWh,398.625kWh,,,,459.875kWh,46.40625kWh,,711.375kWh
2018-08-06T00:00:00-06:00 Denver,179.4375kWh,,,764kWh,1658257.921875kWh,-1658248.353515625kWh,7654.75kWh,65.390625kWh,,792.25kWh,,,34774803.84375kWh,823.6953125kWh,2096kWh,5361.5625kWh,57269941.25kWh,1349.4609375kWh,456kWh,2717kWh,,938kWh,,3795.25kWh,,,,6411.3046875kWh,0.0699462890625kWh,,534kWh,1729.4375kWh,942kWh,1280kWh,627.1171875kWh,5400.28125kWh,,319.4375kWh,,9632.453125kWh,123477398913024.0kWh,7864320kWh,729.1875kWh,546.75kWh,2309.625kWh,603.96875kWh,,,1030.6875kWh,,852.875kWh,,680.09375kWh,437.5kWh,652kWh,496.0625kWh,1682.3125kWh,159.71875kWh,2441.03125kWh,634.828125kWh,,13960kWh,,,,5114kWh,6210kWh,,,1065kWh,,1418kWh,6216kWh,1914.4525146484375kWh,1192kWh,2672kWh,,,2727.87890625kWh,7170kWh,896.5kWh,1989.5kWh,2711.625kWh,6959kWh,1640.03125kWh,,1862.3125kWh,1550.28125kWh,0kWh,,,932.75kWh,53.21875kWh,,326.9921875kWh,8402kWh,45043590kWh,5294.75kWh,334.625kWh,260.375kWh,715.375kWh,,,1314.1875kWh,1365.53125kWh,10477kWh,,,438.9375kWh,1472kWh,967.880859375kWh,,1253.125kWh,398kWh,3138.078125kWh,1564.125kWh,,1423.25kWh,437.5kWh,,,,491.625kWh,46.4765625kWh,,715.5625kWh
2018-08-07T00:00:00-06:00 Denver,159.4375kWh,,,761kWh,1659165.349609375kWh,-1659155.76953125kWh,7630.125kWh,64.40625kWh,,801.0625kWh,,,35120958.5625kWh,874.1328125kWh,2061kWh,5447.9375kWh,57803187.3125kWh,1351.484375kWh,455kWh,2925kWh,,939kWh,,3994.125kWh,,,,6482.5234375kWh,0.1500244140625kWh,,530.875kWh,1517.5625kWh,918kWh,1339kWh,616.3984375kWh,5291.87109375kWh,,312.90625kWh,,9695.1875kWh,123477398913024.0kWh,7864320kWh,694.1875kWh,550.25kWh,2436.8125kWh,650.65625kWh,,,1203.5625kWh,,912.9375kWh,,732.9375kWh,446.4375kWh,668.0625kWh,500.4375kWh,1720.5kWh,79.9375kWh,2354.03125kWh,660.265625kWh,,14216kWh,,,,5046kWh,6060kWh,,,1134.75kWh,,1445kWh,6304kWh,1920.1900634765625kWh,1122kWh,2679.5kWh,,,2763.529296875kWh,6962kWh,923.59375kWh,2036kWh,2667.65625kWh,7331kWh,1625.21875kWh,,1820.46875kWh,3191.3125kWh,0kWh,,,905.3125kWh,60.15625kWh,,357.5kWh,8255kWh,44933130kWh,6187.4375kWh,281.3125kWh,255.9375kWh,699.125kWh,,,1253.875kWh,1369.9375kWh,9533kWh,,,379.75kWh,1474.375kWh,1000.12890625kWh,,1323.875kWh,399kWh,3011.984375kWh,1568.90625kWh,,1416.375kWh,446.4375kWh,,,,527.625kWh,47.3046875kWh,,765.875kWh
2018-08-08T00:00:00-06:00 Denver,169.96875kWh,,,796.5kWh,1660079.248046875kWh,-1660069.69921875kWh,7810.375kWh,69.5625kWh,,825.75kWh,,,35331604.9375kWh,874.7734375kWh,2119kWh,5536.9375kWh,58349476.3125kWh,1291.84375kWh,454.5kWh,2786kWh,,947kWh,,3909.625kWh,,,,6092.515625kWh,0.77001953125kWh,,559.625kWh,1733.9375kWh,953kWh,1408kWh,619.359375kWh,5461.53125kWh,,293.25kWh,,9696.765625kWh,123477398913024.0kWh,7995392kWh,673.1875kWh,576.5kWh,2471.6875kWh,657.5kWh,,,1324kWh,,881.625kWh,,710.71875kWh,456.3125kWh,680.9375kWh,532.15625kWh,1776.0625kWh,102.53125kWh,2350.9375kWh,585.09375kWh,,14200kWh,,,,5056kWh,6116kWh,,,1155.5kWh,,1508kWh,6323kWh,1880.77978515625kWh,1164kWh,2875.125kWh,,,2494.501953125kWh,7007kWh,888.75kWh,2036kWh,2811.1875kWh,7470kWh,1637.71875kWh,,1856.53125kWh,3475.625kWh,0kWh,,,915.8125kWh,53.3515625kWh,,410.1015625kWh,8301kWh,45386431kWh,5214kWh,295.875kWh,249.3125kWh,697kWh,,,1260.6875kWh,1558.375kWh,9880kWh,,,889.375kWh,1451.8125kWh,971.189453125kWh,,1376.9375kWh,404kWh,3057.75kWh,1639.3125kWh,,1388.6875kWh,456.3125kWh,,,,531.3125kWh,95342.359375kWh,,875.25kWh
2018-08-09T00:00:00-06:00 Denver,175.625kWh,,,764kWh,1661061.798828125kWh,-1661051.53125kWh,7886.875kWh,74.8359375kWh,,839.1875kWh,,,35183381.71875kWh,930.453125kWh,2161kWh,5510.125kWh,58272898.875kWh,1310.9375kWh,453kWh,2723kWh,,972kWh,,4121.125kWh,,,,6183.171875kWh,0.5599365234375kWh,,547kWh,1641.6875kWh,1032kWh,1469kWh,622.328125kWh,5574.078125kWh,,305.40625kWh,,9746.4375kWh,123477398913024.0kWh,8388608kWh,679.75kWh,584.25kWh,2493.34375kWh,655.3125kWh,,,1431.0625kWh,,972.4375kWh,,721.6875kWh,430.0625kWh,693.0625kWh,595.75kWh,1868.3125kWh,62.1875kWh,2489.5kWh,640.515625kWh,,14656kWh,,,,5198kWh,6210kWh,,,1191.75kWh,,1473kWh,6518kWh,1887.990234375kWh,1205kWh,3122.8125kWh,,,2597.66796875kWh,7070kWh,923.53125kWh,2032kWh,2872.75kWh,7380kWh,1715.15625kWh,,1865.03125kWh,3431.875kWh,0kWh,,,902.875kWh,57.46875kWh,,461.7265625kWh,8361kWh,44118339kWh,5273.5kWh,292.4375kWh,247.6875kWh,696.0625kWh,,,1277.5625kWh,1659.5625kWh,10352kWh,,,967.25kWh,1460.1875kWh,954.78125kWh,,1456.8125kWh,408kWh,3108.765625kWh,1712.78125kWh,,1511.4375kWh,430.0625kWh,,,,537.875kWh,46.8984375kWh,,852.125kWh
2018-08-10T00:00:00-06:00 Denver,175.625kWh,,,719kWh,1661972.396484375kWh,-1661963.15625kWh,7806.875kWh,78.953125kWh,,852.3125kWh,,,35913233.65625kWh,1005.96875kWh,2114kWh,5485.25kWh,59445279.3125kWh,1367.34375kWh,442kWh,2829kWh,,989kWh,,3977.625kWh,,,,6356.7421875kWh,0.6700439453125kWh,,537.625kWh,1861.125kWh,607kWh,1517kWh,535.125kWh,5562.8515625kWh,,345.28125kWh,,9826.671875kWh,123477398913024.0kWh,8388608kWh,631.0625kWh,580.75kWh,2393.3125kWh,681.40625kWh,,,1596.375kWh,,986.375kWh,,779.53125kWh,502.5625kWh,640.1875kWh,614.25kWh,1856.3125kWh,49.8125kWh,2367.75kWh,698.125kWh,,14888kWh,,,,5222kWh,6072kWh,,,1166kWh,,1432kWh,6287kWh,1896.77001953125kWh,1266kWh,3072.3125kWh,,,2625.91015625kWh,7025kWh,901.28125kWh,2046.5kWh,2923.21875kWh,7319kWh,1725.78125kWh,,1941.5625kWh,3430.15625kWh,0kWh,,,864.3125kWh,48.5703125kWh,,523.4453125kWh,8341kWh,45328624kWh,5257.4375kWh,341.5625kWh,239kWh,662.125kWh,,,1327.5kWh,1709.90625kWh,8816kWh,,,1102.3125kWh,1413.3125kWh,979.009765625kWh,,1333.4375kWh,408kWh,3161.328125kWh,1839.1875kWh,,1637.5kWh,502.5625kWh,,,,550.9375kWh,45.9921875kWh,,879.4375kWh
