ts,v0
2018-07-31T23,20472.849798 kBTU
2018-08-01T00,20259.5909459375 kBTU
2018-08-01T00,19299.926111656252 kBTU
2018-08-01T00,19299.926111656252 kBTU
2018-08-01T00,19513.18496371875 kBTU
2018-08-01T01,18446.89070340625 kBTU
2018-08-01T01,19513.18496371875 kBTU
2018-08-01T01,19619.81438975 kBTU
2018-08-01T01,18446.89070340625 kBTU
2018-08-01T02,18660.14955546875 kBTU
2018-08-01T02,19406.555537687498 kBTU
2018-08-01T02,19939.70266784375 kBTU
2018-08-01T02,18553.5201294375 kBTU
2018-08-01T03,17807.114147218752 kBTU
2018-08-01T03,20366.22037196875 kBTU
2018-08-01T03,20152.96151990625 kBTU
2018-08-01T03,19939.70266784375 kBTU
2018-08-01T04,20152.96151990625 kBTU
2018-08-01T04,19619.81438975 kBTU
2018-08-01T04,19299.926111656252 kBTU
2018-08-01T04,19619.81438975 kBTU
2018-08-01T05,19726.44381578125 kBTU
2018-08-01T05,19619.81438975 kBTU
2018-08-01T05,19939.70266784375 kBTU
2018-08-01T05,20152.96151990625 kBTU
2018-08-01T06,20579.47922403125 kBTU
2018-08-01T06,18233.63185134375 kBTU
2018-08-01T06,17700.4847211875 kBTU
2018-08-01T06,18873.40840753125 kBTU
2018-08-01T07,19086.66725959375 kBTU
2018-08-01T07,18873.40840753125 kBTU
2018-08-01T07,18340.261277375 kBTU
2018-08-01T07,18020.37299928125 kBTU
2018-08-01T08,18980.037833562503 kBTU
2018-08-01T08,19406.555537687498 kBTU
2018-08-01T08,20472.849798 kBTU
2018-08-01T08,20792.738076093752 kBTU
2018-08-01T09,21325.88520625 kBTU
2018-08-01T09,20686.108650062502 kBTU
2018-08-01T09,20792.738076093752 kBTU
2018-08-01T09,20899.367502125 kBTU
2018-08-01T10,20899.367502125 kBTU
2018-08-01T10,20152.96151990625 kBTU
2018-08-01T10,22285.550040531252 kBTU
2018-08-01T10,21859.03233640625 kBTU
2018-08-01T11,22498.80889259375 kBTU
2018-08-01T11,23991.620857031252 kBTU
2018-08-01T11,23991.620857031252 kBTU
2018-08-01T11,23565.10315290625 kBTU
2018-08-01T12,23884.991431 kBTU
2018-08-01T12,23031.95602275 kBTU
2018-08-01T12,22605.438318625 kBTU
2018-08-01T12,20579.47922403125 kBTU
2018-08-01T13,20259.5909459375 kBTU
2018-08-01T13,20472.849798 kBTU
2018-08-01T13,20366.22037196875 kBTU
2018-08-01T13,20686.108650062502 kBTU
2018-08-01T14,23565.10315290625 kBTU
2018-08-01T14,22818.6971706875 kBTU
2018-08-01T14,22498.80889259375 kBTU
2018-08-01T14,22605.438318625 kBTU
2018-08-01T15,21965.6617624375 kBTU
2018-08-01T15,21965.6617624375 kBTU
2018-08-01T15,24631.39741321875 kBTU
2018-08-01T15,23458.473726875 kBTU
2018-08-01T16,22498.80889259375 kBTU
2018-08-01T16,22178.920614500003 kBTU
2018-08-01T16,21645.77348434375 kBTU
2018-08-01T16,21219.255780218748 kBTU
2018-08-01T17,21432.51463228125 kBTU
2018-08-01T17,21325.88520625 kBTU
2018-08-01T17,20899.367502125 kBTU
2018-08-01T17,21752.402910375 kBTU
2018-08-01T18,20472.849798 kBTU
2018-08-01T18,21005.99692815625 kBTU
2018-08-01T18,21645.77348434375 kBTU
2018-08-01T18,20899.367502125 kBTU
2018-08-01T19,21219.255780218748 kBTU
2018-08-01T19,20259.5909459375 kBTU
2018-08-01T19,21432.51463228125 kBTU
2018-08-01T19,19939.70266784375 kBTU
2018-08-01T20,21645.77348434375 kBTU
2018-08-01T20,22178.920614500003 kBTU
2018-08-01T20,22392.1794665625 kBTU
2018-08-01T20,22712.067744656248 kBTU
